#{"t_start": 1748866346.891348, "env_id": "None"}
r,l,t
-368.0,12,297.84205
-363.0,12,298.731034
-374.0,12,299.036397
-419.0,12,300.165631
-387.0,12,300.582903
-316.0,12,301.450331
-167.0,12,302.005691
-351.0,12,302.703158
-265.0,12,303.738901
-294.0,12,304.883415
-357.0,12,305.679591
-182.0,12,306.530779
-95.0,12,307.29144
-411.0,12,307.989373
-415.0,12,308.756233
-312.0,12,309.636792
-138.0,12,310.625516
-355.0,12,311.148107
-327.0,12,312.162226
-399.0,12,312.868686
-283.0,12,313.654238
-303.0,12,314.963291
-451.0,12,315.635612
-312.0,12,316.545984
-167.0,12,316.764826
-358.0,12,317.898956
-245.0,12,318.791593
-393.0,12,319.151452
-387.0,12,319.910778
-259.0,12,320.80946
-452.0,12,321.790348
-364.0,12,322.623687
-237.0,12,323.156232
-347.0,12,323.765381
-399.0,12,324.53498
-267.0,12,325.50875
-272.0,12,326.481471
-407.0,12,327.340247
-378.0,12,328.357916
-318.0,12,329.26054
-354.0,12,330.202243
-381.0,12,331.052566
-416.0,12,331.547234
-391.0,12,332.350985
-324.0,12,332.991767
-343.0,12,333.752309
-278.0,12,334.780537
-364.0,12,335.076973
-318.0,12,335.634435
-358.0,12,336.571199
-247.0,12,337.287024
-418.0,12,338.208918
-331.0,12,338.829999
-311.0,12,339.641575
-134.0,12,340.294429
-335.0,12,340.436472
-347.0,12,340.641682
-241.0,12,341.606703
-386.0,12,342.353712
-440.0,12,343.368479
-311.0,12,344.486312
-424.0,12,344.702485
-404.0,12,345.738372
-295.0,12,346.796254
-404.0,12,347.558925
-385.0,12,348.400291
-423.0,12,349.161048
-219.0,12,350.072423
-307.0,12,350.787045
-295.0,12,351.604976
-359.0,12,352.272191
-399.0,12,353.134638
-428.0,12,353.865568
-339.0,12,354.59634
-444.0,12,355.671741
-245.0,12,356.572861
-238.0,12,357.6787
-424.0,12,358.359298
-354.0,12,359.026726
-294.0,12,359.464455
-389.0,12,360.257894
-403.0,12,360.456081
-326.0,12,361.212089
-435.0,12,362.324016
-452.0,12,363.560388
-345.0,12,363.931472
-291.0,12,364.939567
-316.0,12,365.973427
-283.0,12,366.750542
-292.0,12,367.532827
-365.0,12,368.405946
-421.0,12,368.912683
-349.0,12,369.868476
-180.0,12,370.488944
-400.0,12,370.661399
-431.0,12,371.512458
-310.0,12,372.334304
-200.0,12,373.02709
-413.0,12,373.827998
-321.0,12,374.628024
-254.0,12,375.089603
-411.0,12,375.971333
-371.0,12,376.746592
-177.0,12,377.577177
-265.0,12,378.290064
-438.0,12,379.074409
-304.0,12,379.506574
-401.0,12,380.155086
-323.0,12,380.434466
-414.0,12,381.521241
-335.0,12,382.261492
-350.0,12,382.868684
-287.0,12,383.706661
-255.0,12,384.131273
-334.0,12,384.947705
-266.0,12,385.467205
-288.0,12,385.987682
-340.0,12,386.227508
-299.0,12,387.191792
-425.0,12,387.82413
-419.0,12,388.65641
-262.0,12,389.427069
-394.0,12,390.113281
-251.0,12,390.548025
-347.0,12,390.812096
-363.0,12,391.2047
-364.0,12,391.95735
-309.0,12,392.485208
-336.0,12,393.386997
-323.0,12,393.957992
-315.0,12,394.196216
-361.0,12,394.922128
-414.0,12,395.531529
-330.0,12,396.59287
-235.0,12,397.609969
-394.0,12,398.0557
-206.0,12,398.919033
-415.0,12,400.106143
-401.0,12,400.573541
-418.0,12,401.427858
-277.0,12,402.094748
-365.0,12,402.666413
-317.0,12,403.573689
-308.0,12,404.296333
-385.0,12,405.001038
-285.0,12,405.577376
-302.0,12,406.08125
-331.0,12,407.179548
-422.0,12,407.992596
-439.0,12,408.429945
-402.0,12,409.077858
-426.0,12,410.067588
-268.0,12,411.053221
-281.0,12,411.844266
-217.0,12,412.86043
-313.0,12,413.673996
-330.0,12,414.601015
-223.0,12,415.489545
-354.0,12,416.523751
-365.0,12,417.543075
-387.0,12,417.757385
-273.0,12,418.156725
-351.0,12,418.931877
-259.0,12,419.524834
-285.0,12,420.106953
-283.0,12,420.998601
-372.0,12,421.7795
-448.0,12,422.34596
-341.0,12,423.696824
-445.0,12,424.424598
-411.0,12,425.222038
-282.0,12,426.253423
-413.0,12,427.038572
-397.0,12,427.754702
-409.0,12,428.993594
-408.0,12,429.212642
-445.0,12,430.048015
-343.0,12,431.214573
-432.0,12,431.891373
-441.0,12,432.661726
-427.0,12,433.405344
-413.0,12,434.432106
-432.0,12,435.16557
-238.0,12,436.108875
-374.0,12,436.583977
-323.0,12,437.547951
-320.0,12,438.610311
-422.0,12,439.22997
-324.0,12,439.538634
-384.0,12,439.915952
-390.0,12,441.020555
-397.0,12,441.710238
-283.0,12,442.311885
-405.0,12,442.774347
-325.0,12,443.465907
-291.0,12,444.267707
-336.0,12,445.224765
-384.0,12,445.582494
-293.0,12,446.250213
-279.0,12,447.023744
-349.0,12,447.630234
-346.0,12,447.7122
-393.0,12,448.520232
-422.0,12,449.264915
-341.0,12,450.253158
-452.0,12,451.040326
-442.0,12,452.103386
-280.0,12,452.840821
-161.0,12,453.587794
-321.0,12,455.340157
-379.0,12,456.641786
-363.0,12,457.412556
-175.0,12,458.004534
-444.0,12,458.927767
-374.0,12,459.36674
-334.0,12,460.038399
-362.0,12,461.014315
-397.0,12,461.854154
-402.0,12,462.519549
-437.0,12,463.366426
-338.0,12,464.087831
-332.0,12,464.77072
-209.0,12,465.978268
-421.0,12,466.923139
-223.0,12,467.764467
-384.0,12,468.680359
-413.0,12,469.704536
-468.0,12,470.009043
-274.0,12,470.790579
-293.0,12,471.986982
-435.0,12,472.946399
-338.0,12,473.709711
-378.0,12,474.718888
-245.0,12,475.821263
-302.0,12,477.129615
-236.0,12,477.420502
-302.0,12,478.249776
-412.0,12,479.681905
-341.0,12,480.355497
-185.0,12,480.917933
-361.0,12,481.926279
-307.0,12,482.744958
-452.0,12,483.896094
-355.0,12,484.721058
-380.0,12,485.695665
-408.0,12,486.640232
-390.0,12,487.705549
-411.0,12,488.266732
-213.0,12,489.98642
-368.0,12,490.719505
-305.0,12,491.600011
-352.0,12,491.787559
-382.0,12,492.736716
-424.0,12,493.625603
-326.0,12,494.24493
-270.0,12,495.164165
-399.0,12,495.980446
-149.0,12,496.507745
-304.0,12,497.844345
-461.0,12,498.464823
-414.0,12,499.19768
-311.0,12,499.890727
-297.0,12,500.423327
-445.0,12,500.773698
-399.0,12,501.856978
-387.0,12,502.101596
-209.0,12,503.125561
-358.0,12,503.372443
-378.0,12,504.467778
-300.0,12,505.702045
-308.0,12,506.400163
-305.0,12,507.233162
-348.0,12,508.089236
-317.0,12,509.083487
-326.0,12,509.780845
-337.0,12,511.074149
-240.0,12,511.832619
-426.0,12,512.754387
-216.0,12,513.324496
-353.0,12,514.419741
-243.0,12,515.389034
-408.0,12,516.098866
-347.0,12,516.354279
-257.0,12,517.075453
-289.0,12,517.521513
-379.0,12,518.226468
-430.0,12,519.128963
-242.0,12,519.990988
-375.0,12,520.838726
-346.0,12,521.659009
-320.0,12,522.87866
-310.0,12,524.426
-431.0,12,525.229625
-367.0,12,526.256945
-299.0,12,526.792447
-218.0,12,527.298572
-409.0,12,527.465336
-330.0,12,528.329673
-332.0,12,529.138563
-331.0,12,530.01271
-274.0,12,531.237799
-266.0,12,532.067347
-360.0,12,532.916113
-427.0,12,533.639511
-399.0,12,534.907025
-277.0,12,535.58446
-324.0,12,536.45061
-215.0,12,537.212286
-267.0,12,539.069452
-285.0,12,540.172062
-402.0,12,541.864341
-379.0,12,542.586799
-389.0,12,543.501899
-460.0,12,544.029253
-386.0,12,544.769737
-354.0,12,545.716174
-336.0,12,546.352005
-338.0,12,547.475775
-456.0,12,548.249193
-455.0,12,549.13185
-350.0,12,549.951818
-353.0,12,550.191
-445.0,12,550.845641
-453.0,12,551.674118
-395.0,12,552.539431
-413.0,12,553.204053
-330.0,12,553.786879
-287.0,12,554.976217
-351.0,12,555.746503
-399.0,12,557.033046
-421.0,12,557.96963
-447.0,12,559.043873
-414.0,12,559.891193
-323.0,12,560.785138
-366.0,12,561.348475
-383.0,12,562.360473
-293.0,12,562.82236
-386.0,12,562.987205
-199.0,12,563.12505
-444.0,12,563.578696
-342.0,12,564.062724
-320.0,12,564.277143
-430.0,12,564.950185
-393.0,12,565.228602
-201.0,12,565.902811
-360.0,12,567.042094
-294.0,12,568.190186
-376.0,12,569.525844
-396.0,12,570.37963
-417.0,12,571.222429
-394.0,12,572.036546
-374.0,12,573.030386
-298.0,12,574.291232
-250.0,12,575.229143
-249.0,12,575.96605
-360.0,12,576.929747
-411.0,12,577.727529
-271.0,12,578.668919
-408.0,12,579.417852
-317.0,12,580.366861
-397.0,12,581.355494
-453.0,12,582.295963
-331.0,12,583.035381
-201.0,12,583.876353
-398.0,12,584.788468
-378.0,12,585.5471
-409.0,12,586.33058
-259.0,12,587.076134
-406.0,12,587.819523
-453.0,12,589.032113
-346.0,12,589.828389
-213.0,12,590.736919
-344.0,12,591.158596
-220.0,12,591.986685
-197.0,12,592.759566
-309.0,12,593.475055
-241.0,12,594.672737
-417.0,12,595.654061
-435.0,12,596.2441
-118.0,12,596.875246
-291.0,12,597.661077
-406.0,12,598.573689
-404.0,12,599.436699
-355.0,12,600.473985
-398.0,12,601.628939
-367.0,12,602.457054
-349.0,12,603.082177
-320.0,12,603.84683
-370.0,12,604.622052
-167.0,12,604.91254
-351.0,12,605.935588
-446.0,12,606.866709
-218.0,12,607.496856
-452.0,12,608.002803
-391.0,12,608.701781
-278.0,12,609.704772
-292.0,12,610.536732
-238.0,12,611.489245
-402.0,12,612.50143
-334.0,12,613.171466
-444.0,12,613.381418
-396.0,12,614.254337
-79.0,12,615.032223
-452.0,12,615.562758
-321.0,12,616.477326
-256.0,12,617.470574
-406.0,12,618.792399
-232.0,12,619.548007
-246.0,12,619.808634
-446.0,12,620.690638
-301.0,12,621.541507
-391.0,12,622.115976
-307.0,12,622.752615
-311.0,12,623.99603
-423.0,12,624.4531
-399.0,12,625.108892
-276.0,12,625.924263
-315.0,12,626.549253
-331.0,12,626.651788
-327.0,12,627.891525
-410.0,12,628.818331
-344.0,12,629.465828
-456.0,12,630.090889
-413.0,12,631.220941
-198.0,12,632.076345
-334.0,12,632.982864
-305.0,12,634.160637
-177.0,12,634.805383
-413.0,12,635.690056
-279.0,12,636.286212
-414.0,12,637.187294
-366.0,12,638.176486
-287.0,12,638.348359
-411.0,12,639.023634
-446.0,12,639.748695
-269.0,12,640.41629
-271.0,12,641.153837
-287.0,12,642.283258
-443.0,12,643.551385
-404.0,12,644.46197
-379.0,12,645.219754
-429.0,12,645.370078
-394.0,12,646.249779
-412.0,12,646.883742
-284.0,12,647.805969
-342.0,12,648.738402
-357.0,12,649.224534
-363.0,12,650.19538
-261.0,12,650.955829
-314.0,12,651.88708
-384.0,12,652.755738
-424.0,12,653.36133
-358.0,12,653.567965
-347.0,12,653.888746
-380.0,12,654.504245
-367.0,12,655.33774
-357.0,12,656.334142
-395.0,12,656.540518
-309.0,12,657.221781
-457.0,12,657.34508
-372.0,12,658.083896
-408.0,12,658.136064
-313.0,12,658.86252
-84.0,12,659.051844
-272.0,12,660.281786
-326.0,12,661.139232
-246.0,12,662.111972
-240.0,12,662.693387
-335.0,12,662.951389
-176.0,12,663.18296
-358.0,12,664.307088
-391.0,12,665.040564
-337.0,12,666.016049
-375.0,12,667.25808
-458.0,12,668.285385
-311.0,12,669.223545
-100.0,12,670.152335
-454.0,12,670.434566
-257.0,12,671.419414
-306.0,12,671.94082
-410.0,12,672.661278
-246.0,12,673.503653
-417.0,12,674.300091
-116.0,12,675.339644
-444.0,12,676.285596
-215.0,12,676.843209
-346.0,12,678.016097
-181.0,12,678.646997
-200.0,12,679.532242
-351.0,12,680.442648
-417.0,12,681.44411
-319.0,12,681.903879
-412.0,12,682.681061
-258.0,12,683.250031
-444.0,12,683.95419
-369.0,12,684.551067
-322.0,12,685.289738
-455.0,12,686.01986
-341.0,12,686.638633
-378.0,12,686.736468
-340.0,12,687.564771
-140.0,12,688.446865
-378.0,12,689.143938
-437.0,12,689.979133
-277.0,12,690.17125
-387.0,12,691.062302
-343.0,12,691.83387
-231.0,12,692.327638
-455.0,12,693.209882
-432.0,12,694.203533
-315.0,12,695.049407
-417.0,12,695.710509
-336.0,12,697.404924
-371.0,12,698.101689
-412.0,12,698.785375
-451.0,12,699.580695
-325.0,12,700.624539
-422.0,12,701.972013
-350.0,12,703.125277
-353.0,12,704.198796
-373.0,12,705.031786
-459.0,12,705.89084
-377.0,12,706.93816
-283.0,12,707.861998
-227.0,12,708.859608
-421.0,12,709.873877
-159.0,12,710.574241
-344.0,12,711.745815
-217.0,12,712.44775
-356.0,12,713.52841
-438.0,12,714.185769
-344.0,12,714.332453
-415.0,12,715.497355
