#{"t_start": 1748668966.7769225, "env_id": "None"}
r,l,t
-126.0,12,303.067051
2.0,12,303.784498
-156.0,12,304.360715
-82.0,12,305.099566
-16.0,12,306.09944
-140.0,12,306.947206
-222.0,12,307.748553
-122.0,12,308.934369
-128.0,12,309.501598
-176.0,12,310.273819
-202.0,12,311.162533
-132.0,12,311.952687
-162.0,12,312.661369
-110.0,12,313.673275
-204.0,12,313.796464
-62.0,12,314.009928
-12.0,12,314.748562
-198.0,12,315.066525
-82.0,12,316.082492
-240.0,12,316.285509
2.0,12,316.809829
-156.0,12,317.599459
-78.0,12,318.656676
-178.0,12,319.346458
-22.0,12,320.357848
-142.0,12,320.95238
-188.0,12,321.597652
-36.0,12,322.376496
-170.0,12,323.043869
-158.0,12,323.908271
-240.0,12,324.528281
-176.0,12,325.179342
-204.0,12,325.922396
-226.0,12,326.967229
-112.0,12,328.056351
-200.0,12,328.652895
6.0,12,329.719921
-240.0,12,331.017876
-136.0,12,332.11357
-98.0,12,333.224875
-120.0,12,334.111585
-208.0,12,335.096472
-98.0,12,335.821564
-144.0,12,336.689848
-130.0,12,337.285892
-154.0,12,338.001183
-52.0,12,338.822189
-192.0,12,339.372662
-110.0,12,340.230377
-30.0,12,340.377614
-106.0,12,341.448462
-136.0,12,342.304034
-174.0,12,343.28656
-162.0,12,344.26768
-34.0,12,345.436065
-174.0,12,346.338589
-202.0,12,346.928088
-136.0,12,348.315958
-94.0,12,348.894156
-240.0,12,349.33675
-240.0,12,350.057994
-14.0,12,351.330303
-90.0,12,352.509778
-204.0,12,353.10433
-172.0,12,354.173344
-58.0,12,355.187441
-240.0,12,356.023726
-170.0,12,356.780565
-66.0,12,357.670787
-78.0,12,358.778393
-144.0,12,359.183036
-158.0,12,360.053914
-156.0,12,361.022887
-176.0,12,361.541446
-46.0,12,362.29578
-34.0,12,362.789235
-90.0,12,363.755315
-100.0,12,364.396667
-90.0,12,365.710604
-106.0,12,366.664425
-118.0,12,367.933941
-150.0,12,368.945996
-240.0,12,369.971786
2.0,12,370.633292
-148.0,12,371.413851
-228.0,12,372.000144
-218.0,12,372.692145
-194.0,12,373.288561
-30.0,12,374.315388
-204.0,12,375.410106
-178.0,12,376.492122
-166.0,12,376.968683
-114.0,12,378.088366
-204.0,12,379.020572
-204.0,12,379.126647
-32.0,12,379.491789
-94.0,12,380.168826
-198.0,12,380.716757
-154.0,12,381.720994
-142.0,12,382.704897
-146.0,12,383.304815
-158.0,12,384.141663
-108.0,12,385.135416
-76.0,12,386.225866
-232.0,12,387.434457
-128.0,12,388.317128
-160.0,12,389.175544
-162.0,12,389.93662
-74.0,12,391.383062
-160.0,12,392.503751
-8.0,12,392.736754
-240.0,12,393.425512
-156.0,12,394.524715
-186.0,12,395.097433
-184.0,12,395.309364
-188.0,12,395.968457
-172.0,12,396.82877
-216.0,12,397.974803
-30.0,12,398.782156
-178.0,12,399.048147
-164.0,12,399.257283
-58.0,12,399.498851
-172.0,12,400.370724
-240.0,12,401.08074
-240.0,12,401.794739
-160.0,12,402.666306
-30.0,12,402.967436
-208.0,12,403.232644
-46.0,12,404.004748
-70.0,12,404.595526
-240.0,12,405.256738
-106.0,12,405.826918
-128.0,12,406.850044
-34.0,12,407.852372
-16.0,12,408.953172
-172.0,12,409.835607
-240.0,12,410.545556
-190.0,12,411.517905
-240.0,12,411.692335
-128.0,12,412.146539
-142.0,12,412.726702
-178.0,12,413.452487
-240.0,12,414.135659
-204.0,12,414.722763
-100.0,12,415.813705
-212.0,12,416.410514
-182.0,12,417.120416
-118.0,12,417.709546
-66.0,12,418.673391
-210.0,12,419.483726
-224.0,12,420.306562
-72.0,12,421.087699
24.0,12,421.925062
-188.0,12,422.018142
-128.0,12,422.769722
-118.0,12,423.436819
-92.0,12,423.646929
82.0,12,424.600156
-202.0,12,424.850769
20.0,12,425.37419
-38.0,12,425.547225
-88.0,12,426.200632
-172.0,12,427.187006
-40.0,12,428.002616
-174.0,12,428.254018
-240.0,12,428.910809
-156.0,12,429.843132
-108.0,12,430.50718
-44.0,12,431.287027
8.0,12,432.409837
-186.0,12,433.287065
-154.0,12,433.96532
-224.0,12,434.559515
-30.0,12,435.278666
-226.0,12,436.145689
-184.0,12,436.517799
-198.0,12,437.193997
-34.0,12,438.083329
-190.0,12,439.234641
-20.0,12,439.676063
-240.0,12,439.900483
-152.0,12,440.796022
-220.0,12,441.529104
4.0,12,441.585888
-52.0,12,442.447927
-108.0,12,443.396192
-68.0,12,444.288064
-180.0,12,445.236387
-42.0,12,446.201452
-138.0,12,447.090192
-56.0,12,447.816554
-132.0,12,448.778759
-202.0,12,449.160537
-194.0,12,450.235757
-172.0,12,451.130088
-110.0,12,451.91923
-184.0,12,452.581751
-98.0,12,453.495027
-188.0,12,454.09718
-174.0,12,455.036515
-110.0,12,455.739249
18.0,12,456.306628
-240.0,12,456.588379
-82.0,12,457.490313
-208.0,12,457.545891
-110.0,12,458.076593
-72.0,12,458.838344
-116.0,12,459.531908
-240.0,12,460.325524
-218.0,12,461.474862
-154.0,12,462.227589
14.0,12,462.803742
-200.0,12,463.899217
-176.0,12,464.622415
-18.0,12,465.3644
32.0,12,466.105845
-86.0,12,466.492124
-136.0,12,466.757911
-168.0,12,467.699834
-218.0,12,467.991894
-228.0,12,468.737998
-152.0,12,468.903176
-106.0,12,469.669732
-240.0,12,470.09858
-108.0,12,471.004267
-132.0,12,471.905465
-196.0,12,472.656419
-240.0,12,473.310418
-72.0,12,474.440305
-86.0,12,475.248033
-132.0,12,476.087939
-54.0,12,476.573195
-186.0,12,477.350914
-116.0,12,478.113639
-90.0,12,478.215676
-154.0,12,478.476267
-158.0,12,479.191716
-152.0,12,480.252992
-46.0,12,481.286141
-102.0,12,482.489657
-88.0,12,482.614577
-154.0,12,483.456399
-226.0,12,484.599608
68.0,12,485.494038
-156.0,12,486.41583
-128.0,12,487.437541
-148.0,12,488.037704
-88.0,12,488.854144
-158.0,12,489.946213
-102.0,12,490.838998
-188.0,12,491.548117
-52.0,12,492.976989
-8.0,12,493.945267
-156.0,12,494.366812
-162.0,12,495.374893
-52.0,12,496.525086
-154.0,12,497.438493
-144.0,12,498.308275
-140.0,12,498.505043
-214.0,12,498.917639
-18.0,12,499.454648
-80.0,12,499.789535
-206.0,12,500.535231
-142.0,12,501.452057
-48.0,12,502.587841
-34.0,12,503.37635
-190.0,12,503.480858
-116.0,12,504.222298
-132.0,12,505.114788
-152.0,12,505.77555
-210.0,12,506.183878
-78.0,12,507.059011
-240.0,12,508.024482
-104.0,12,508.676778
-168.0,12,509.00857
-186.0,12,509.851901
-12.0,12,509.996865
-100.0,12,510.910641
-154.0,12,511.593287
-84.0,12,511.707373
-240.0,12,511.822203
-206.0,12,512.823234
-104.0,12,513.809485
-176.0,12,514.563975
-184.0,12,514.731334
-152.0,12,515.515093
-18.0,12,516.061615
-156.0,12,517.016599
-240.0,12,519.064993
-98.0,12,519.868461
-118.0,12,520.384893
-56.0,12,521.329232
-184.0,12,522.132066
-194.0,12,522.78466
-146.0,12,523.419991
-82.0,12,523.605886
-170.0,12,524.489475
-156.0,12,525.167688
-8.0,12,525.92639
-202.0,12,526.11833
-240.0,12,526.796683
72.0,12,527.685054
-96.0,12,528.862542
-228.0,12,529.613322
-62.0,12,529.844773
-186.0,12,530.419399
-32.0,12,530.429215
26.0,12,531.093305
-120.0,12,531.943824
-240.0,12,532.728059
-184.0,12,533.26021
-54.0,12,534.007532
56.0,12,534.872512
-126.0,12,534.955756
-156.0,12,536.225733
-176.0,12,536.873547
-118.0,12,537.674492
42.0,12,538.336211
-134.0,12,539.046601
-160.0,12,539.917008
-24.0,12,540.770948
-156.0,12,542.222609
-92.0,12,543.098946
-124.0,12,543.573754
-240.0,12,544.477432
-160.0,12,545.062335
-160.0,12,546.24454
-222.0,12,546.751919
42.0,12,547.546836
-148.0,12,547.66238
-210.0,12,548.730242
-34.0,12,549.502723
-68.0,12,550.279888
-172.0,12,550.982365
-174.0,12,552.209339
-204.0,12,553.046935
-182.0,12,553.926552
-148.0,12,555.008588
-148.0,12,555.518198
-202.0,12,555.797126
-224.0,12,556.561496
-144.0,12,557.203862
-102.0,12,557.664799
-180.0,12,558.466379
-106.0,12,559.230864
-88.0,12,559.947984
-136.0,12,560.75806
-110.0,12,561.651531
-74.0,12,562.574316
-240.0,12,563.384249
