#{"t_start": 1748835617.5918171, "env_id": "None"}
r,l,t
-182.0,12,302.587103
-132.0,12,303.167676
-206.0,12,304.154953
-104.0,12,304.293233
-116.0,12,305.516305
-202.0,12,305.529789
-94.0,12,306.182457
-102.0,12,306.348406
-240.0,12,306.508378
-188.0,12,307.239209
-32.0,12,307.794955
-48.0,12,308.038774
-28.0,12,308.052656
-180.0,12,308.088294
-208.0,12,308.31824
-182.0,12,308.49752
-208.0,12,308.92689
-126.0,12,310.484276
-182.0,12,310.498136
-166.0,12,310.635041
62.0,12,310.793649
-222.0,12,311.524432
-70.0,12,312.097999
-240.0,12,312.157612
-154.0,12,312.170127
-106.0,12,312.527884
-158.0,12,312.866298
-104.0,12,313.095108
-108.0,12,314.055238
-172.0,12,314.960747
-218.0,12,314.975298
-110.0,12,315.000804
-2.0,12,315.076872
-42.0,12,315.089472
-168.0,12,315.38074
-70.0,12,316.007472
-172.0,12,316.06169
-240.0,12,316.890861
-204.0,12,316.988619
-124.0,12,317.797034
-134.0,12,317.87205
-194.0,12,317.881386
-92.0,12,317.895211
20.0,12,318.155285
-146.0,12,318.860078
-48.0,12,319.618043
-182.0,12,319.631947
-104.0,12,320.633993
-196.0,12,320.751539
-134.0,12,321.642476
-50.0,12,321.859253
-206.0,12,322.360677
-72.0,12,322.44501
-240.0,12,322.598139
-64.0,12,322.609746
-164.0,12,322.840714
-172.0,12,323.682513
-130.0,12,324.780326
-156.0,12,324.995141
-124.0,12,325.891225
-154.0,12,326.57908
-126.0,12,327.194365
-188.0,12,328.136809
42.0,12,328.60378
-76.0,12,328.682106
-178.0,12,329.760623
-140.0,12,329.979696
-122.0,12,330.19775
-196.0,12,330.268721
-220.0,12,330.283186
-180.0,12,331.126082
-110.0,12,331.663909
-100.0,12,331.679065
-156.0,12,331.783681
-120.0,12,331.855563
-22.0,12,331.869543
-208.0,12,332.151294
-194.0,12,332.245723
-132.0,12,332.389925
-200.0,12,332.858875
-146.0,12,333.42004
