#{"t_start": 1748856809.0898216, "env_id": "None"}
r,l,t
-136.0,12,420.254594
-128.0,12,421.199563
-66.0,12,422.103232
-66.0,12,422.550488
66.0,12,423.193102
-128.0,12,423.934639
-126.0,12,424.855244
-120.0,12,424.948226
-186.0,12,426.11867
-62.0,12,426.940687
-70.0,12,427.116636
-198.0,12,427.755724
-182.0,12,428.760848
-118.0,12,429.584636
28.0,12,429.844024
-140.0,12,430.751795
-204.0,12,431.625921
-60.0,12,432.349154
-206.0,12,433.30082
-192.0,12,434.119335
-140.0,12,435.006163
-82.0,12,436.241807
-60.0,12,437.251781
-52.0,12,438.178879
-240.0,12,438.74286
-176.0,12,439.380439
-40.0,12,440.219193
-240.0,12,440.570816
-172.0,12,441.745605
16.0,12,441.947906
-52.0,12,442.566025
-142.0,12,443.468304
-152.0,12,444.500032
-34.0,12,445.247181
-98.0,12,446.14641
-108.0,12,446.919262
-18.0,12,447.301042
-104.0,12,447.496758
-176.0,12,448.559621
-34.0,12,449.591996
-76.0,12,450.488219
-170.0,12,450.681453
-80.0,12,451.767072
-150.0,12,452.588881
-34.0,12,453.626695
-184.0,12,454.655329
-164.0,12,455.394347
-144.0,12,456.255024
-200.0,12,456.981493
-156.0,12,457.189997
-160.0,12,458.164234
-94.0,12,459.135273
-218.0,12,460.270976
-160.0,12,461.360302
-76.0,12,461.761309
-128.0,12,462.335652
20.0,12,462.949603
-190.0,12,463.219002
-130.0,12,464.072363
-50.0,12,464.548893
-122.0,12,464.807266
-126.0,12,466.003593
46.0,12,466.117684
-90.0,12,466.212509
-172.0,12,466.995386
-160.0,12,467.669106
-154.0,12,468.427738
-140.0,12,469.803246
-148.0,12,470.633927
-208.0,12,471.486254
-190.0,12,472.195275
-154.0,12,472.815736
-186.0,12,473.465923
-124.0,12,474.473031
-170.0,12,475.908073
-68.0,12,476.301768
-154.0,12,477.449288
-150.0,12,478.277308
-102.0,12,479.263126
-240.0,12,480.000879
-120.0,12,480.326995
-180.0,12,480.549499
-222.0,12,481.154514
-152.0,12,481.79822
-170.0,12,482.536481
-166.0,12,482.728286
156.0,12,483.201703
70.0,12,483.83542
-120.0,12,484.746845
-18.0,12,485.727963
106.0,12,486.324674
-220.0,12,487.328423
-114.0,12,487.916268
-132.0,12,488.404446
-88.0,12,488.713067
-120.0,12,489.958854
-112.0,12,490.968814
-220.0,12,491.339675
-18.0,12,491.802477
-182.0,12,492.590429
-190.0,12,493.169793
-66.0,12,493.696303
-204.0,12,494.75995
-174.0,12,494.886401
-202.0,12,495.167254
-112.0,12,495.896655
24.0,12,496.660896
-16.0,12,497.580142
-240.0,12,498.621688
-18.0,12,499.763265
-198.0,12,500.351474
-184.0,12,501.696093
-2.0,12,501.936162
-240.0,12,502.353148
-170.0,12,502.543891
-156.0,12,503.198382
-168.0,12,503.440774
-154.0,12,503.671833
-210.0,12,504.564848
-62.0,12,504.674842
-212.0,12,505.54659
-142.0,12,507.03653
-206.0,12,507.200764
-162.0,12,508.070609
-202.0,12,508.942667
-240.0,12,509.717309
-132.0,12,510.128308
-96.0,12,510.514711
-204.0,12,511.389841
-154.0,12,511.640711
-22.0,12,512.569956
40.0,12,512.689939
-106.0,12,513.610761
-94.0,12,514.647091
-34.0,12,514.75477
-202.0,12,515.518895
-16.0,12,516.024317
-202.0,12,516.470757
-134.0,12,517.098453
-96.0,12,518.172931
28.0,12,518.655595
-72.0,12,520.090838
-204.0,12,521.330234
-186.0,12,522.192123
-166.0,12,523.217802
-144.0,12,524.16786
-240.0,12,524.347441
-152.0,12,524.943126
-174.0,12,525.190982
-204.0,12,525.501189
-162.0,12,525.80733
-102.0,12,526.647085
-208.0,12,527.402669
-126.0,12,528.122337
-178.0,12,528.426577
-190.0,12,529.126858
-202.0,12,530.113655
-58.0,12,530.938454
-240.0,12,532.017401
-188.0,12,533.014461
-182.0,12,534.073294
-172.0,12,535.046979
-210.0,12,535.853604
-104.0,12,536.614786
-240.0,12,537.240753
-156.0,12,538.080706
-146.0,12,538.286479
-182.0,12,539.127062
-240.0,12,539.338713
-178.0,12,540.250373
-198.0,12,540.733047
-204.0,12,541.632265
-204.0,12,541.909412
-186.0,12,542.78196
-152.0,12,543.657621
-168.0,12,544.289687
-154.0,12,544.527269
-78.0,12,545.232072
-158.0,12,545.940668
-38.0,12,546.775177
-176.0,12,547.455254
-184.0,12,548.107661
-210.0,12,549.085042
-32.0,12,549.940501
50.0,12,550.746706
-240.0,12,551.479066
-190.0,12,552.218741
-52.0,12,552.566556
-30.0,12,553.678835
-22.0,12,554.608152
-130.0,12,554.932454
-8.0,12,555.648977
-224.0,12,556.487658
-66.0,12,557.033455
-152.0,12,557.921515
-186.0,12,558.783849
-144.0,12,559.785552
-170.0,12,560.961434
-240.0,12,561.791374
-164.0,12,562.573653
-160.0,12,563.432051
-112.0,12,564.970279
-22.0,12,565.333324
-146.0,12,566.452644
-140.0,12,567.403559
-240.0,12,567.623403
-240.0,12,568.282794
-92.0,12,568.890988
-222.0,12,569.170902
-56.0,12,569.799735
-104.0,12,570.742218
-24.0,12,571.331067
-158.0,12,572.020315
-172.0,12,572.708413
-48.0,12,573.286547
-100.0,12,573.478343
-184.0,12,573.555503
-140.0,12,574.531417
-176.0,12,575.202367
-204.0,12,575.430636
60.0,12,576.312526
-142.0,12,577.528138
-156.0,12,577.754186
-240.0,12,578.35723
-204.0,12,578.746622
-154.0,12,578.912326
-176.0,12,579.083889
10.0,12,580.17476
-194.0,12,580.731239
-56.0,12,581.455699
-92.0,12,582.204368
-196.0,12,583.008593
62.0,12,583.359964
94.0,12,583.882855
-124.0,12,584.639028
-182.0,12,585.226854
